ProductKey,ProductName,Category,Subcategory,ListPrice,StandardCost,Color,Size,Weight,ProductStatus
1,Mountain Bike Elite 1,Bikes,Mountain Bikes,867.53,375.21,Silver,S,10.2,Active
2,Mountain Bike Pro 2,Bikes,Mountain Bikes,2394.33,860.84,Silver,M,7.7,Active
3,Mountain Bike Trail 3,Bikes,Mountain Bikes,2315.36,1307.73,Blue,M,6.8,Active
4,Mountain Bike Elite 4,Bikes,Mountain Bikes,2985.46,1050.73,White,XL,5.2,Active
5,Mountain Bike Pro 5,Bikes,Mountain Bikes,1381.35,799.87,Black,XL,1.6,Active
6,Mountain Bike Classic 6,Bikes,Mountain Bikes,2430.06,1438.93,Yellow,S,14.6,Discontinued
7,Road Bike Trail 7,Bikes,Road Bikes,2290.51,1371.61,Green,L,8.7,Active
8,Road Bike Sport 8,Bikes,Road Bikes,923.73,386.46,Black,M,13.0,Discontinued
9,Road Bike Sport 9,Bikes,Road Bikes,1550.53,838.38,Silver,L,5.5,Active
10,Road Bike Pro 10,Bikes,Road Bikes,2694.91,1495.85,Yellow,M,8.1,Active
11,Road Bike Trail 11,Bikes,Road Bikes,1241.19,575.71,Silver,L,12.7,Active
12,Road Bike Sport 12,Bikes,Road Bikes,1418.43,510.11,Blue,L,1.2,Active
13,Touring Bike Classic 13,Bikes,Touring Bikes,2569.68,1204.38,Silver,L,2.3,Active
14,Touring Bike Trail 14,Bikes,Touring Bikes,2816.94,1347.99,Blue,L,3.4,Active
15,Touring Bike Pro 15,Bikes,Touring Bikes,2175.72,820.84,Green,S,2.5,Active
16,Touring Bike Pro 16,Bikes,Touring Bikes,2938.61,1400.68,Blue,XL,9.0,Discontinued
17,Touring Bike Pro 17,Bikes,Touring Bikes,2228.61,1429.26,White,S,10.3,Active
18,Touring Bike Sport 18,Bikes,Touring Bikes,2875.22,1299.75,Blue,M,6.9,Active
19,Touring Bike Trail 19,Bikes,Touring Bikes,3424.1,1981.15,Black,L,12.7,Active
20,Touring Bike Trail 20,Bikes,Touring Bikes,1212.67,701.84,Green,,13.8,Active
21,Brake Sport 21,Components,Brakes,21.52,13.53,Silver,S,3.8,Active
22,Brake Pro 22,Components,Brakes,43.69,21.66,Green,,11.5,Active
23,Brake Elite 23,Components,Brakes,236.02,149.65,Red,,13.1,Discontinued
24,Brake Elite 24,Components,Brakes,338.06,212.53,White,L,6.1,Active
25,Brake Pro 25,Components,Brakes,161.76,81.73,Silver,M,1.1,Active
26,Brake Elite 26,Components,Brakes,212.08,88.87,Black,S,10.7,Active
27,Brake Sport 27,Components,Brakes,91.7,57.0,Black,,3.7,Discontinued
28,Brake Trail 28,Components,Brakes,86.77,33.81,Yellow,XL,3.8,Discontinued
29,Brake Pro 29,Components,Brakes,285.51,116.24,White,XL,5.4,Discontinued
30,Brake Pro 30,Components,Brakes,171.45,97.51,Black,XL,11.0,Active
31,Brake Classic 31,Components,Brakes,98.3,40.01,Silver,XL,2.9,Discontinued
32,Brake Classic 32,Components,Brakes,98.69,61.88,Green,,1.6,Active
33,Chain Elite 33,Components,Chains,325.33,196.7,Blue,XL,7.3,Discontinued
34,Chain Pro 34,Components,Chains,317.32,126.73,Blue,L,13.9,Discontinued
35,Chain Trail 35,Components,Chains,110.56,61.8,White,XL,2.5,Active
36,Chain Trail 36,Components,Chains,87.93,32.32,Black,L,1.0,Discontinued
37,Chain Elite 37,Components,Chains,183.45,111.14,Black,,1.4,Active
38,Chain Elite 38,Components,Chains,37.95,14.06,Blue,S,14.1,Active
39,Derailleur Trail 39,Components,Derailleurs,222.49,105.85,Yellow,,4.9,Active
40,Derailleur Elite 40,Components,Derailleurs,83.43,47.13,Red,XL,2.1,Active
41,Derailleur Pro 41,Components,Derailleurs,168.17,105.73,Black,XL,9.4,Active
42,Derailleur Sport 42,Components,Derailleurs,39.54,16.37,Silver,L,13.2,Active
