SalesOrderID,OrderDate,ShipDate,DateKey,CustomerKey,ProductKey,TerritoryKey,OrderQuantity,UnitPrice,DiscountPercent,SalesAmount,TotalProductCost,TaxAmount,FreightAmount,OrderStatus
10001,2022-04-04,2022-04-05,20220404,1665,64,5,1,147.12,0.0,147.12,82.42,11.77,7.14,Shipped
10002,2023-12-18,2023-12-28,20231218,599,63,2,3,184.75,0.05,526.54,271.92,42.12,10.21,Shipped
10003,2023-02-26,2023-03-06,20230226,1839,92,5,4,93.67,0.0,374.68,186.0,29.97,14.18,Delivered
10004,2023-05-16,2023-05-25,20230516,654,69,8,2,84.48,0.05,160.51,110.02,12.84,10.88,Delivered
10005,2023-02-21,2023-02-24,20230221,473,134,3,5,6.07,0.0,30.35,18.9,2.43,2.72,Shipped
10006,2023-04-27,2023-05-05,20230427,1952,117,5,2,43.71,0.2,69.94,40.68,5.6,1.47,Delivered
10007,2023-09-08,2023-09-10,20230908,572,16,8,7,2716.17,0.2,15210.55,9804.76,1216.84,19.07,Shipped
10008,2023-02-26,2023-03-05,20230226,1352,48,6,7,169.8,0.15,1010.31,544.74,80.82,5.27,Returned
10009,2023-11-20,2023-11-25,20231120,444,152,7,1,29.92,0.2,23.94,11.81,1.92,9.7,Delivered
10010,2022-04-27,2022-04-29,20220427,795,142,5,5,68.81,0.1,309.65,214.7,24.77,7.49,Delivered
10011,2024-02-20,2024-02-28,20240220,271,61,2,1,205.64,0.15,174.79,112.72,13.98,14.31,Cancelled
10012,2023-08-29,2023-09-04,20230829,809,147,5,1,35.68,0.0,35.68,24.26,2.85,4.76,Delivered
10013,2022-01-26,2022-01-28,20220126,1165,79,8,6,54.84,0.2,263.23,237.18,21.06,3.5,Shipped
10014,2022-01-19,2022-01-27,20220119,1979,10,7,6,2236.31,0.2,10734.29,8975.1,858.74,26.38,Shipped
10015,2022-06-12,2022-06-17,20220612,1130,157,5,6,40.39,0.05,230.22,97.74,18.42,3.52,Delivered
10016,2024-10-10,2024-10-13,20241010,1291,59,4,3,87.49,0.1,236.22,169.35,18.9,10.18,Shipped
10017,2022-03-20,2022-03-23,20220320,1763,130,4,8,10.46,0.0,83.68,38.0,6.69,8.75,Shipped
10018,2023-06-15,2023-06-20,20230615,1390,5,6,6,1414.74,0.0,8488.44,4799.22,679.08,28.22,Shipped
10019,2024-11-04,2024-11-12,20241104,1047,29,7,2,328.68,0.0,657.36,232.48,52.59,8.99,Shipped
10020,2024-05-23,2024-05-28,20240523,51,37,7,6,172.63,0.0,1035.78,666.84,82.86,5.69,Delivered
10021,2024-02-07,2024-02-15,20240207,1274,76,3,1,41.01,0.0,41.01,20.64,3.28,5.07,Returned
10022,2022-02-22,2022-02-24,20220222,434,156,6,6,8.48,0.2,40.7,38.64,3.26,11.39,Returned
10023,2024-02-15,2024-02-25,20240215,1346,9,2,3,1265.93,0.15,3228.12,2515.14,258.25,6.29,Returned
10024,2023-04-05,2023-04-15,20230405,1177,129,1,7,26.15,0.0,183.05,109.76,14.64,12.87,Delivered
10025,2024-12-10,2024-12-19,20241210,650,113,4,5,30.51,0.1,137.3,79.2,10.98,5.1,Delivered
